ltable_id,rtable_id,sensitive
55,273,False
97,315,False
59,277,True
106,324,False
47,265,False
87,305,False
41,259,False
50,268,False
21,239,False
56,274,False
85,303,False
65,283,False
90,308,False
62,280,False
54,272,False
8,226,False
11,229,False
81,299,False
105,323,False
10,228,True
24,242,False
7,225,False
111,329,False
40,258,False
12,230,False
77,295,False
16,234,False
26,244,False
23,241,False
14,232,True
72,290,False
88,306,False
17,235,False
3,221,False
70,288,False
32,250,True
46,264,False
89,307,False
33,251,False
49,267,False
69,287,False
104,322,False
15,233,False
78,296,False
110,328,False
2,220,False
53,271,False
98,316,False
92,310,False
86,304,False
19,237,False
64,282,False
43,261,True
35,253,False
52,270,False
44,262,False
102,320,False
9,227,False
6,224,False
13,231,False
95,313,False
4,222,False
0,218,False
67,285,True
1,219,False
29,247,False
22,240,True
38,256,False
83,301,True
84,302,False
74,292,False
37,255,False
39,257,False
73,291,False
57,275,False
58,276,False
75,293,False
27,245,False
107,325,True
100,318,False
79,297,False
101,319,False
28,246,False
36,254,False
71,289,False
96,314,False
82,300,False
108,326,False
91,309,False
109,327,False
99,317,False
80,298,False
5,223,False
31,249,False
63,281,False
103,321,True
51,269,False
45,263,False
93,311,False
68,286,False
34,252,False
94,312,False
66,284,False
18,236,False
61,279,False
25,243,False
76,294,False
42,260,False
30,248,False
48,266,False
10000,1090102,False
