ltable_id,rtable_id,sensitive
1861,64163,False
2187,64008,False
1480,45262,False
944,63682,False
1082,25283,False
909,38317,False
1656,45351,False
1187,4546,False
171,1241,False
86,48634,False
1884,53983,False
1742,36645,False
584,43284,False
1190,53516,False
2481,53218,True
1970,29564,False
2030,18418,False
1524,49333,False
2497,10451,True
532,3765,False
1651,18695,False
674,31393,False
1660,39229,False
2538,13096,True
1498,46299,False
148,38562,False
2295,33577,True
590,51553,False
1330,54210,False
1165,44881,False
1515,35132,False
304,17108,False
1342,10867,False
1662,31411,False
1310,50323,False
994,8056,False
2615,57559,False
2373,9959,False
2386,13435,True
240,63577,False
1954,44542,False
2101,26860,False
1329,48252,False
750,14753,False
1311,25091,False
1214,8939,False
1321,16132,False
235,51626,False
2176,53265,False
695,60419,False
1818,50298,False
1053,46369,False
607,1055,False
2604,45177,False
1630,29036,False
1855,56428,False
617,39976,False
1491,2161,False
352,17040,False
1567,22729,False
68,16374,False
1946,60354,False
1832,34002,False
1100,18922,False
1055,14,False
2531,32267,True
333,59763,False
336,53327,False
1327,26844,False
1382,15190,False
424,5194,False
1912,25016,False
2008,13741,False
2326,35843,False
112,16346,False
274,13907,False
2478,59778,True
1534,21565,False
2397,20199,True
349,17974,False
1747,17986,False
1314,60603,False
1912,22010,False
1142,1521,False
389,35303,False
21,38975,False
33,55553,False
256,816,False
1545,34956,False
1264,293,False
735,54231,False
1773,5702,False
1508,52556,False
603,45459,False
928,61502,False
405,7720,False
497,18140,False
1037,36209,False
437,58227,False
1176,50378,False
119,23195,False
2390,22990,True
2411,3595,True
1154,18542,False
1446,44546,False
1205,35556,False
1715,45275,False
161,22806,False
784,54977,False
2220,58174,False
1498,23318,False
1462,62984,False
2334,14858,False
91,23737,False
926,27289,False
1894,37091,False
759,7951,False
1688,52317,False
1548,52353,False
2575,33075,False
1404,48623,False
670,34485,False
2171,25335,False
1982,57601,False
2354,8820,False
1628,28756,False
1352,49286,False
998,56172,False
493,23657,False
381,23013,False
1391,11384,False
791,6795,False
1226,2655,False
2609,8769,False
403,61321,False
1281,43793,False
2340,2128,False
449,44791,False
584,29840,False
2126,62929,False
1735,15289,False
1241,4716,False
1213,47147,False
1159,44835,False
2560,2887,True
781,1461,False
801,20029,False
1088,50321,False
1954,49750,False
1857,37034,False
1573,41702,False
442,30128,False
1211,40192,False
1537,56693,False
942,10963,False
1834,5869,False
1843,4585,False
1269,24021,False
1423,2195,False
1902,40825,False
198,44003,False
1200,36937,False
1546,2326,False
1819,62815,False
221,5555,False
225,32718,False
204,8178,False
990,52266,False
791,2569,False
1280,21224,False
1107,16996,False
1100,62229,False
256,34093,False
1777,37391,False
2184,59998,False
1954,1903,False
101,9845,False
118,63910,False
1774,27401,False
2435,52850,True
495,39799,False
1249,8398,False
936,26901,False
307,2509,False
43,63635,False
1254,17625,False
2579,49443,False
2614,24194,False
1510,23877,False
754,31572,False
1233,23180,False
1932,50737,False
775,25702,False
1454,7905,False
501,9519,False
1140,45553,False
95,20258,False
1912,30105,False
1592,56204,False
1110,35462,False
212,63200,False
2107,10139,False
792,17599,False
589,10611,False
1487,47824,False
1111,17855,False
788,28789,False
1392,37809,False
997,41759,False
1235,52688,False
2517,19180,True
1522,53419,False
2293,57380,True
837,25574,False
95,7781,False
